Company (Companies!Market!Cap),Sector,Ticker,Market Capitalization,Market Capitalization $T
Apple Inc.,Electronic Technology,AAPL,2122302102525,2.122302103
Microsoft Corporation,Technology Services,MSFT,1777966348754,1.777966349
Alphabet Inc.,Technology Services,GOOG,1184242673454,1.184242673
Alphabet Inc.,Technology Services,GOOGL,1184242673454,1.184242673
"Amazon.com, Inc.",Retail Trade,AMZN,971911570617,0.971911571
Berkshire Hathaway Inc. New,Finance,BRK.B,703424304407,0.703424304
Exxon Mobil Corporation,Energy Minerals,XOM,466273190232,0.466273190
UnitedHealth Group Incorporated,Health Services,UNH,463128811145,0.463128811
Visa Inc.,Commercial Services,V,461034533556,0.461034534
Johnson & Johnson,Health Technology,JNJ,454920111328,0.454920111
JP Morgan Chase & Co.,Finance,JPM,409152792460,0.409152792
NVIDIA Corporation,Electronic Technology,NVDA,406170601501,0.406170602
Walmart Inc.,Retail Trade,WMT,390523608487,0.390523608
"Tesla, Inc.",Consumer Durables,TSLA,390171883951,0.390171884
Mastercard Incorporated,Commercial Services,MA,365172034245,0.365172034
"Meta Platforms, Inc.",Technology Services,META,363402133359,0.363402133
Procter & Gamble Company (The),Consumer Non-Durables,PG,355004268428,0.355004268
Eli Lilly and Company,Health Technology,LLY,354496018315,0.354496018
Chevron Corporation,Energy Minerals,CVX,342408717940,0.342408718
"Home Depot, Inc. (The)",Retail Trade,HD,336198872307,0.336198872
"Merck & Company, Inc.",Health Technology,MRK,283381201972,0.283381202
Bank of America Corporation,Finance,BAC,276533245276,0.276533245
AbbVie Inc.,Health Technology,ABBV,269198099112,0.269198099
"Pfizer, Inc.",Health Technology,PFE,267811227419,0.267811227
Coca-Cola Company (The),Consumer Non-Durables,KO,264703477896,0.264703478
Broadcom Inc.,Electronic Technology,AVGO,243184660701,0.243184661
"PepsiCo, Inc.",Consumer Non-Durables,PEP,242173726507,0.242173727
Oracle Corporation,Technology Services,ORCL,239373331806,0.239373332
