% Chg,Company,Symbol (Companies!Weights),#,Chg,Price,Weight,Weight Percentage
-0.02%,Apple Inc,AAPL,1,0.05,182.04,7.508006,0.07508006
(-0.03%),Microsoft Corp,MSFT,2,-0.09,327.69,6.451932,0.06451932
-0.01%,Amazon.com Inc,AMZN,3,0.02,139.59,3.0567,0.030567
(-0.22%),Nvidia Corp,NVDA,4,-1,445.8,2.924405,0.02924405
(-0.07%),Alphabet Inc Cl A,GOOGL,5,-0.09,128.03,2.027999,0.02027999
(-0.06%),Tesla Inc,TSLA,6,-0.16,253.7,1.856613,0.01856613
-0.05%,Meta Platforms Inc Class A,META,7,0.14,310.87,1.841181,0.01841181
(-0.03%),Alphabet Inc Cl C,GOOG,8,-0.04,128.51,1.748807,0.01748807
-0.11%,Berkshire Hathaway Inc Cl B,BRK.B,9,0.39,350.38,1.676767,0.01676767
-0.13%,Unitedhealth Group Inc,UNH,10,0.67,503.4,1.249134,0.01249134
(-1.29%),Jpmorgan Chase & Co,JPM,11,-2.01,154.01,1.214214,0.01214214
(-0.13%),Johnson & Johnson,JNJ,12,-0.22,168.82,1.178467,0.01178467
-0.20%,Exxon Mobil Corp,XOM,13,0.22,107.64,1.150934,0.01150934
-0.06%,Visa Inc Class a Shares,V,14,0.14,239.13,1.026771,0.01026771
(-0.06%),Procter & Gamble Co,PG,15,-0.09,155.19,0.983116,0.00983116
(-0.03%),Broadcom Inc,AVGO,16,-0.22,881.43,0.980096,0.00980096
-0.74%,Eli Lilly & Co,LLY,17,3.31,452.8,0.940247,0.00940247
-0.01%,Home Depot Inc,HD,18,0.02,326.45,0.88768,0.0088768
(-0.07%),Mastercard Inc A,MA,19,-0.29,391.07,0.87393,0.0087393
-0.28%,Chevron Corp,CVX,20,0.44,159.75,0.73946,0.0073946
-0.01%,Merck & Co. Inc.,MRK,21,0.02,105.02,0.712962,0.00712962
(-0.25%),Abbvie Inc,ABBV,22,-0.38,147.36,0.699642,0.00699642
-0.03%,Pepsico Inc,PEP,23,0.06,184.66,0.684045,0.00684045
(-0.14%),Costco Wholesale Corp,COST,24,-0.77,551.27,0.656865,0.00656865
(-0.09%),Adobe Inc,ADBE,25,-0.48,526.4,0.638471,0.00638471
-0.07%,Coca Cola Co,KO,26,0.04,60.75,0.636792,0.00636792
(-0.08%),Walmart Inc,WMT,27,-0.12,158.22,0.592811,0.00592811
(-0.23%),Bank of America Corp,BAC,28,-0.07,31.23,0.578726,0.00578726
-0.14%,Cisco Systems Inc,CSCO,29,0.08,52.71,0.578266,0.00578266
-0.05%,Mcdonald S Corp,MCD,30,0.14,287.16,0.564404,0.00564404
(-0.34%),Thermo Fisher Scientific Inc,TMO,31,-1.87,546.78,0.562116,0.00562116
(-0.02%),Salesforce Inc,CRM,32,-0.04,214.55,0.560837,0.00560837
(-0.00%),Accenture Plc Cl A,ACN,33,-0.01,311.99,0.532243,0.00532243
(-0.05%),Pfizer Inc,PFE,34,-0.02,35,0.525084,0.00525084
(-0.06%),Netflix Inc,NFLX,35,-0.25,431.35,0.509468,0.00509468
(-0.20%),Comcast Corp Class A,CMCSA,36,-0.09,44.75,0.499293,0.00499293
-2.11%,Abbott Laboratories,ABT,37,2.27,109.92,0.497701,0.00497701
-0.54%,Linde Plc,LIN,38,2.02,379.84,0.495397,0.00495397
(-0.04%),Advanced Micro Devices,AMD,39,-0.05,115.77,0.48424,0.0048424
(-0.08%),Oracle Corp,ORCL,40,-0.1,114.35,0.468464,0.00468464
-0.53%,Danaher Corp,DHR,41,1.34,256.09,0.454385,0.00454385
(-0.06%),Wells Fargo & Co,WFC,42,-0.03,44.83,0.450216,0.00450216
(-0.05%),Walt Disney Co,DIS,43,-0.05,86.26,0.414535,0.00414535
(-0.01%),Texas Instruments Inc,TXN,44,-0.01,168.43,0.413156,0.00413156
(-0.06%),Philip Morris International,PM,45,-0.06,96.16,0.400865,0.00400865
(-0.06%),Caterpillar Inc,CAT,46,-0.17,276.27,0.38546,0.0038546
(-0.13%),Intel Corp,INTC,47,-0.04,35.1,0.385131,0.00385131
