Date added,Founded,GICS Sector,GICS Sub-Industry,Headquarters Location,Security,Symbol,CIK
04-03-1957,1902,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",3M,MMM,66740
26-07-2017,1916,Industrials,Building Products,"Milwaukee, Wisconsin",A. O. Smith,AOS,91142
04-03-1957,1888,Health Care,Health Care Equipment,"North Chicago, Illinois",Abbott,ABT,1800
31-12-2012,2013 (1888),Health Care,Pharmaceuticals,"North Chicago, Illinois",AbbVie,ABBV,1551152
06-07-2011,1989,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",Accenture,ACN,1467373
31-08-2015,2008,Communication Services,Interactive Home Entertainment,"Santa Monica, California",Activision Blizzard,ATVI,718877
04-03-1957,1902,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",ADM,ADM,7084
05-05-1997,1982,Information Technology,Application Software,"San Jose, California",Adobe Inc.,ADBE,796343
31-03-1981,1949,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",ADP,ADP,8670
09-07-2015,1932,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",Advance Auto Parts,AAP,1158449
02-10-1998,1981,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",AES Corporation,AES,874761
28-05-1999,1955,Financials,Life & Health Insurance,"Columbus, Georgia",Aflac,AFL,4977
05-06-2000,1999,Health Care,Health Care Equipment,"Santa Clara, California",Agilent Technologies,A,1090872
30-04-1985,1940,Materials,Industrial Gases,"Allentown, Pennsylvania",Air Products and Chemicals,APD,2969
12-07-2007,1998,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",Akamai,AKAM,1086222
13-05-2016,1985,Industrials,Passenger Airlines,"SeaTac, Washington",Alaska Air Group,ALK,766421
01-07-2016,1994,Materials,Specialty Chemicals,"Charlotte, North Carolina",Albemarle Corporation,ALB,915913
20-03-2017,1994,Real Estate,Office REITs,"Pasadena, California",Alexandria Real Estate Equities,ARE,1035443
19-06-2017,1997,Health Care,Health Care Supplies,"Tempe, Arizona",Align Technology,ALGN,1097149
02-12-2013,1908,Industrials,Building Products,"New York City, New York",Allegion,ALLE,1579241
01-07-2016,1917,Utilities,Electric Utilities,"Madison, Wisconsin",Alliant Energy,LNT,352541
13-07-1995,1931,Financials,Property & Casualty Insurance,"Glenview, Illinois",Allstate,ALL,899051
03-04-2014,1998,Communication Services,Interactive Media & Services,"Mountain View, California",Alphabet (A),GOOGL,1652044
03-04-2006,1998,Communication Services,Interactive Media & Services,"Mountain View, California",Alphabet (C),GOOG,1652044
04-03-1957,1985,Consumer Staples,Tobacco,"Richmond, Virginia",Altria,MO,764180
18-11-2005,1994,Consumer Discretionary,Broadline Retail,"Seattle, Washington",Amazon,AMZN,1018724
07-06-2019,2019 (1860),Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",Amcor,AMCR,1748790
20-03-2017,1969,Information Technology,Semiconductors,"Santa Clara, California",AMD,AMD,2488
19-09-1991,1902,Utilities,Multi-Utilities,"St. Louis, Missouri",Ameren,AEE,1002910
23-03-2015,1934,Industrials,Passenger Airlines,"Fort Worth, Texas",American Airlines Group,AAL,6201
04-03-1957,1906,Utilities,Electric Utilities,"Columbus, Ohio",American Electric Power,AEP,4904
30-06-1976,1850,Financials,Consumer Finance,"New York City, New York",American Express,AXP,4962
31-03-1980,1919,Financials,Property & Casualty Insurance,"New York City, New York",American International Group,AIG,5272
19-11-2007,1995,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",American Tower,AMT,1053507
04-03-2016,1886,Utilities,Water Utilities,"Camden, New Jersey",American Water Works,AWK,1410636
03-10-2005,1894,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",Ameriprise Financial,AMP,820027
30-08-2001,1985,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",AmerisourceBergen,ABC,1140859
23-09-2013,1930,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",Ametek,AME,1037868
02-01-1992,1980,Health Care,Biotechnology,"Thousand Oaks, California",Amgen,AMGN,318154
30-09-2008,1932,Information Technology,Electronic Components,"Wallingford, Connecticut",Amphenol,APH,820313
12-10-1999,1965,Information Technology,Semiconductors,"Wilmington, Massachusetts",Analog Devices,ADI,6281
19-06-2017,1969,Information Technology,Application Software,"Canonsburg, Pennsylvania",Ansys,ANSS,1013462
23-04-1996,1982 (1919),Financials,Insurance Brokers,"London, UK",Aon,AON,315293
28-07-1997,1954,Energy,Oil & Gas Exploration & Production,"Houston, Texas",APA Corporation,APA,1841666
30-11-1982,1977,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",Apple,AAPL,320193
16-03-1995,1967,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",Applied Materials,AMAT,6951
24-12-2012,1994,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",Aptiv,APTV,1521332
01-11-2022,1995,Financials,Reinsurance,"Hamilton, Bermuda",Arch Capital Group,ACGL,947484
28-08-2018,2004,Information Technology,Communications Equipment,"Santa Clara, California",Arista Networks,ANET,1596532
31-05-2016,1927,Financials,Insurance Brokers,"Rolling Meadows, Illinois",Arthur J. Gallagher & Co.,AJG,354190
10-04-2007,1892,Financials,Multi-line Insurance,"New York City, New York",Assurant,AIZ,1267238
30-11-1983,1983 (1885),Communication Services,Integrated Telecommunication Services,"Dallas, Texas",AT&T,T,732717
15-02-2019,1906,Utilities,Gas Utilities,"Dallas, Texas",Atmos Energy,ATO,731802
01-12-1989,1982,Information Technology,Application Software,"San Francisco, California",Autodesk,ADSK,769397
02-01-1997,1979,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",AutoZone,AZO,866787
10-01-2007,1978,Real Estate,Residential REITs,"Arlington, Virginia",AvalonBay Communities,AVB,915912
31-12-1987,1990,Materials,Paper & Plastic Packaging Products & Materials,"Glendale, California",Avery Dennison,AVY,8818
04-05-2023,1993,Industrials,Aerospace & Defense,"Scottsdale, Arizona",Axon Enterprise,AXON,1069183
07-07-2017,2017,Energy,Oil & Gas Equipment & Services,"Houston, Texas",Baker Hughes,BKR,1701605
31-10-1984,1880,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",Ball Corporation,BALL,9389
30-06-1976,1998 (1923 / 1874),Financials,Diversified Banks,"Charlotte, North Carolina",Bank of America,BAC,70858
30-09-1983,1963,Consumer Discretionary,Specialty Stores,"Columbus, Ohio","Bath & Body Works, Inc.",BBWI,701985
30-09-1972,1931,Health Care,Health Care Equipment,"Deerfield, Illinois",Baxter International,BAX,10456
30-09-1972,1897,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",Becton Dickinson,BDX,10795
05-12-2019,1967,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",Berkley,WRB,11544
16-02-2010,1839,Financials,Multi-Sector Holdings,"Omaha, Nebraska",Berkshire Hathaway,BRK.B,1067983
29-06-1999,1966,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",Best Buy,BBY,764478
22-06-2020,1952,Health Care,Life Sciences Tools & Services,"Hercules, California",Bio-Rad,BIO,12208
30-08-2021,1976,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",Bio-Techne,TECH,842023
13-11-2003,1978,Health Care,Biotechnology,"Cambridge, Massachusetts",Biogen,BIIB,875045
04-04-2011,1988,Financials,Asset Management & Custody Banks,"New York City, New York",BlackRock,BLK,1364742
31-03-1995,1784,Financials,Asset Management & Custody Banks,"New York City, New York",BNY Mellon,BK,1390777
04-03-1957,1916,Industrials,Aerospace & Defense,"Chicago, Illinois",Boeing,BA,12927
06-11-2009,1996,Consumer Discretionary,"Hotels, Restaurants & Leisure","Norwalk, Connecticut",Booking Holdings,BKNG,1075531
19-12-2011,1880,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",BorgWarner,BWA,908255
03-04-2006,1970,Real Estate,Office REITs,"Boston, Massachusetts",Boston Properties,BXP,1037540
24-02-1995,1979,Health Care,Health Care Equipment,"Marlborough, Massachusetts",Boston Scientific,BSX,885725
04-03-1957,1989 (1887),Health Care,Pharmaceuticals,"New York City, New York",Bristol Myers Squibb,BMY,14272
08-05-2014,1961,Information Technology,Semiconductors,"San Jose, California",Broadcom Inc.,AVGO,1730168
18-06-2018,1962,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",Broadridge Financial Solutions,BR,1383312
20-09-2021,1939,Financials,Insurance Brokers,"Daytona Beach, Florida",Brown & Brown,BRO,79282
31-10-1982,1870,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",Brown–Forman,BF.B,14693
15-03-2023,1818,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",Bunge Limited,BG,1144519
02-03-2007,1905,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",C.H. Robinson,CHRW,1043277
18-09-2017,1988,Information Technology,Application Software,"San Jose, California",Cadence Design Systems,CDNS,813672
