Year,Year Close,Year High,Year Low,Year Open,Annual % Change,Average Closing Price
2023,4478.03,4588.96,3808.1,3824.14,0.1663,4169
2022,3839.5,4796.56,3577.03,4796.56,-0.1944,4097.49
2021,4766.18,4793.06,3700.65,3700.65,0.2689,4273.41
2020,3756.07,3756.07,2237.4,3257.85,0.1626,3217.86
2019,3230.78,3240.02,2447.89,2510.03,0.2888,2913.36
2018,2506.85,2930.75,2351.1,2695.81,-0.0624,2746.21
2017,2673.61,2690.16,2257.83,2257.83,0.1942,2449.08
2016,2238.83,2271.72,1829.08,2012.66,0.0954,2094.65
2015,2043.94,2130.82,1867.61,2058.2,-0.0073,2061.07
2014,2058.9,2090.57,1741.89,1831.98,0.1139,1931.38
2013,1848.36,1848.36,1457.15,1462.42,0.296,1643.8
2012,1426.19,1465.77,1277.06,1277.06,0.1341,1379.61
2011,1257.6,1363.61,1099.23,1271.87,0,1267.64
2010,1257.64,1259.78,1022.58,1132.99,0.1278,1139.97
2009,1115.1,1127.78,676.53,931.8,0.2345,948.05
2008,903.25,1447.16,752.44,1447.16,-0.3849,1220.04
2007,1468.36,1565.15,1374.12,1416.6,0.0353,1477.18
2006,1418.3,1427.09,1223.69,1268.8,0.1362,1310.46
2005,1248.29,1272.74,1137.5,1202.08,0.03,1207.23
2004,1211.92,1213.55,1063.23,1108.48,0.0899,1130.65
2003,1111.92,1111.92,800.73,909.03,0.2638,965.23
2002,879.82,1172.51,776.76,1154.67,-0.2337,993.93
2001,1148.08,1373.73,965.8,1283.27,-0.1304,1192.57
2000,1320.28,1527.46,1264.74,1455.22,-0.1014,1427.22
1999,1469.25,1469.25,1212.19,1228.1,0.1953,1327.33
1998,1229.23,1241.81,927.69,975.04,0.2667,1085.5
1997,970.43,983.79,737.01,737.01,0.3101,873.43
1996,740.74,757.03,598.48,620.73,0.2026,670.49
1995,615.93,621.69,459.11,459.11,0.3411,541.72
1994,459.27,482,438.92,465.44,-0.0154,460.42
1993,466.45,470.94,429.05,435.38,0.0706,451.61
1992,435.71,441.28,394.5,417.26,0.0446,415.75
